time_s,ax,ay,az,gx,gy,gz,activity,subject_id,placement,fs_hz
0.0,-1.406027898677728,1.555181921115711,9.659669513666906,-0.004050019870414865,0.005949896173071599,0.01956846198247024,stand,1,waist,50
0.02,-1.5274025493226622,1.6405072373511047,9.620258918883026,0.011423709617514821,-0.0004247360228306872,0.0009432590868216021,stand,1,waist,50
0.04,-1.6433457578099144,1.5536672790143173,9.580051179039657,-0.003987379572902368,-0.005455498085175052,-0.028529748459581103,stand,1,waist,50
0.06,-1.5941153094788882,1.5387265107820272,9.731823303671625,0.025135466152385696,0.0020134791362081033,0.0030145369088891566,stand,1,waist,50
0.08,-1.5138568695034358,1.5321734130344318,9.602596541613512,0.005389800240238203,0.0038967650150834665,-0.01961087182689465,stand,1,waist,50
0.1,-1.5599144427467218,1.5457335238828191,9.751604595467237,0.006721906516374587,-0.00023442288821552693,-0.006003611094913312,stand,1,waist,50
0.12,-1.4222880751468618,1.7556061752491074,9.596051951314495,0.009309197768507188,-0.022212149358790824,-0.035882783289903075,stand,1,waist,50
0.14,-1.487410213815112,1.537731957242179,10.0315657664441,0.008374822501966066,-0.01826911330032862,-0.035144507584885944,stand,1,waist,50
0.16,-1.8578648144052194,1.588220178249649,9.692833418811718,-0.018656394948566305,-0.016289958017770178,-0.012441703453389052,stand,1,waist,50
0.18,-1.6283664573127905,1.5736896351972283,9.813886060624924,-0.007744666735335363,0.016975763458831578,-0.023996710638696,stand,1,waist,50
0.2,-1.4703818516616245,1.588709625565648,9.648865972214676,-0.005308863822396556,-0.007883190432517548,0.0003410275405081771,stand,1,waist,50
0.22,-1.59732285544058,1.5433247235382301,9.615717895296427,-0.028705923926364174,-0.012959546602671242,-0.03629292835133964,stand,1,waist,50
0.24,-1.683632017380913,1.4919310443768443,9.686067625934522,-0.02326267487228491,-0.0073320766672977915,-0.03499744384211854,stand,1,waist,50
0.26,-1.7154106567634786,1.483586514509029,9.65156262637645,0.0010704250670326935,-0.007500139507924779,-0.01789489574754481,stand,1,waist,50
0.28,-1.6825178845093303,1.4724685056472928,9.474772201268701,-0.006789890578618506,-0.01807084289494606,0.0027821259877339743,stand,1,waist,50
0.3,-1.4201346337543894,1.7399690120070668,9.871969486552176,-0.022357071121863373,-0.018716104399314596,-0.003857641421633775,stand,1,waist,50
0.32,-1.5671469662877004,1.6825351997923823,9.692918694407675,0.03673389546406847,-0.019552366562713884,-0.012353962936107249,stand,1,waist,50
0.34,-1.4305981097385592,1.6215595845655324,9.649660853369204,0.021877255090188227,-0.013513482186319658,-0.0002525358917238735,stand,1,waist,50
0.36,-1.6666907448181372,1.66079934259647,9.702400740913507,-0.001536566900658024,-0.018909834580882183,-0.028084426365793922,stand,1,waist,50
0.38,-1.674200496427694,1.4618885310872158,9.526944858659796,0.014772415164259409,-0.018330768977105637,-0.029784953574088176,stand,1,waist,50
0.4,-1.5936289640970118,1.409023117635866,9.51899371293468,0.01848431564596668,-0.005817985434003863,0.0019353108902158966,stand,1,waist,50
0.42,-1.57210649985863,1.565737073364346,9.61081446391775,0.006333127158350289,0.0006750560548161493,-0.020454626933195347,stand,1,waist,50
0.44,-1.8054273130828085,1.6487958067149617,9.911391227858312,-0.014037225834746401,0.00015488826162691257,-0.04900253138036616,stand,1,waist,50
0.46,-1.5614929231229706,1.6271709749216183,9.644245374737489,-0.002262166382487859,-0.00620816386995418,-0.01637507048527049,stand,1,waist,50
0.48,-1.499986862818118,1.5865206088975505,9.79790495241501,0.012293385270688718,0.014382363374006349,-0.022466046471099434,stand,1,waist,50
0.5,-1.4641366685007242,1.6040747023705826,9.902571178323228,0.03122495441295607,-0.014771403577890859,-0.011745218647087913,stand,1,waist,50
0.52,-1.8005967767346471,1.7349993423373218,9.587990305102386,-0.052159230976012994,0.002344357224853864,0.009662811283538842,stand,1,waist,50
0.54,-1.575255329159819,1.7309109232419466,9.39236058969716,0.009834891531165488,0.016143325880289036,-0.01877284791885578,stand,1,waist,50
0.56,-1.5413717069900545,1.5448754901992605,9.598350260844228,-0.0004103043625745975,0.017350370024976518,-0.0222567501929156,stand,1,waist,50
0.58,-1.790900735440718,1.5997956601288517,9.818549576495656,0.002374801278524924,-0.027196379980699917,-0.0007736232558167248,stand,1,waist,50
0.6,-1.4092977567389184,1.7165103443411591,9.628909713292712,0.03603499943712153,-0.016658685443055318,-0.00917765749500633,stand,1,waist,50
0.62,-1.6687040646376743,1.6324910903870031,9.745265928914081,-0.005140196078419789,-0.012934085174660145,-0.03258762445928567,stand,1,waist,50
0.64,-1.4930507461904032,1.5240628842543749,9.525242187433246,-0.008035534345727322,0.037726947772519226,-0.018985002523161994,stand,1,waist,50
0.66,-1.5590720727448493,1.8046144391783236,9.72425691374918,-0.02313432018144665,0.012072617697427204,0.004862395492617751,stand,1,waist,50
0.68,-1.8528081600265836,1.543703504028576,9.599630602231269,-0.0025314476921295074,0.003926107224735501,-0.01000793194825868,stand,1,waist,50
0.7,-1.776749261296584,1.5467150084552865,9.81909292963128,-0.0030300992423711814,-0.0070260432078121555,0.036079415452831616,stand,1,waist,50
0.72,-1.7347597105758992,1.6150768242492448,9.663779219856512,-0.017751287754110456,-0.010885024058258417,-0.00448778573799898,stand,1,waist,50
0.74,-1.5219840414214278,1.732820029373223,9.544236726432455,-0.01398831495059562,0.0007150945265941618,0.008806950635224445,stand,1,waist,50
0.76,-1.7744054501542816,1.365338488535657,9.665342175037697,0.03962159703401065,-0.02746075864840969,-0.0075906157233432345,stand,1,waist,50
0.78,-1.9684974703386253,1.726368053290278,9.658659654179672,0.005764346463021187,-0.020253423373225662,0.010969791062980032,stand,1,waist,50
0.8,-1.864570889969983,1.8501509920511259,9.7301123313753,0.005330474583378747,0.008561449378131018,0.021070910927255458,stand,1,waist,50
0.82,-1.6468039853745902,1.5359166127095496,9.684347227018245,-0.003471022681093233,-0.02281000761950384,-0.00031878583686471514,stand,1,waist,50
0.84,-1.6681857642125777,1.6642363750008218,9.820946969855878,-0.023836886251494625,0.017318572321635743,-0.001098689776416661,stand,1,waist,50
0.86,-1.5886547010852754,1.6887578810673902,9.706652120888846,0.0033829743257345417,0.004518517807879187,0.018612444819505525,stand,1,waist,50
0.88,-1.627234346945052,1.5543709477207246,9.403093218253602,-0.0030609885614005035,0.00580603242033156,-0.009359037181888102,stand,1,waist,50
0.9,-1.729224690842921,1.7862615470105512,9.690199434790916,-0.007327013197272635,-0.03604581201966216,0.004528357795591337,stand,1,waist,50
0.92,-1.8296272205769866,1.6100323962027703,9.593207254511148,-0.011235470483084244,-0.01733117856051835,0.0057878547617784245,stand,1,waist,50
0.94,-1.848691951139599,1.7789375964909233,9.657083876567464,-0.016443859985814102,-0.017563547822213386,-0.0012923135648828799,stand,1,waist,50
0.96,-1.8653331865708072,1.572009465651723,9.806746778825111,-0.017977335805523145,-0.0005699301833110061,0.011482933767033972,stand,1,waist,50
0.98,-1.607537389703208,1.499597237055064,9.587358401456427,0.0221146784684323,-0.021524864319585033,0.008577903195906185,stand,1,waist,50
1.0,-1.7018895115922172,1.4592467967278506,9.609306137069844,0.011728800591035343,0.0265968606186645,0.021449109428093277,stand,1,waist,50
1.02,-1.7514192388791303,1.5269285844334082,9.579614864114339,-0.007030893192511369,0.00040140733190599347,0.009176320049630546,stand,1,waist,50
1.04,-1.7217961273581575,1.3913742528983295,9.538808234000664,-0.02384679420525118,0.0003265427270911375,0.018727618320573045,stand,1,waist,50
1.06,-1.9212291279803941,1.6931959585379377,9.607841666531364,0.013512999217331498,0.01730953385477504,0.03024258347408254,stand,1,waist,50
1.08,-1.9534723522356154,1.6031947807926137,9.62985956217357,-0.014014321526507868,-0.010336003337334601,0.03334547811655128,stand,1,waist,50
1.1,-1.549661246808635,1.7372138769995498,9.634667335868363,-0.0016006515450567114,0.014264574017031574,0.031025327293902748,stand,1,waist,50
1.12,-1.7651768446566625,1.6389142590705335,9.810480640076785,-0.031032744441291553,0.00832787577809395,0.036190409813144225,stand,1,waist,50
1.14,-1.8584212130302646,1.3984190461164543,9.442131890103807,-0.006952535148265666,0.017863005872439858,0.011377709986847782,stand,1,waist,50
1.16,-1.757459415493367,1.492085842650255,9.676077630562256,0.003135531291360384,0.0221868674993529,-0.012369248739383484,stand,1,waist,50
1.18,-1.5797413764162875,1.4024174107365956,9.66696730387453,-0.007339529948304406,-0.025840202146193748,0.04114970380686933,stand,1,waist,50
1.2,-1.8482550852939608,1.6490363574282547,9.658468969216377,-0.00263888484035574,-0.004997538900178481,0.041807987794100325,stand,1,waist,50
1.22,-1.9823272509496488,1.571620103978218,9.720433521303391,0.006908868725270442,-0.013239913221007118,0.023364193157655144,stand,1,waist,50
1.24,-1.7688204216664722,1.6061668303117544,9.493059500411011,0.0021673753956279627,-0.0034661889627132887,0.004900598782401717,stand,1,waist,50
1.26,-1.6634183245791063,1.7242978679967833,9.861943963825377,-0.023561118736776084,0.005098611308805763,0.005223513652788022,stand,1,waist,50
1.28,-1.6529369764035675,1.679279821525134,9.620031299920532,0.002379280591175415,-0.02055954818612974,0.018679488788394493,stand,1,waist,50
1.3,-1.7376341650777918,1.4635686748389252,9.703223215532814,-0.0121189992462548,0.03192226186586127,0.01085339635555754,stand,1,waist,50
1.32,-1.701077509388348,1.3014092573271212,9.817645448369158,0.004301994989457638,0.010590869626610816,0.0014662475703292911,stand,1,waist,50
1.34,-1.6805546543986203,1.4122744758953116,9.618062021832246,0.007658508986153617,0.01470777456088506,0.01700089809717253,stand,1,waist,50
1.36,-1.7942115290580027,1.5006785071705266,9.829344215038157,0.00688055862922906,-0.03257131104975595,0.03719443234343414,stand,1,waist,50
1.38,-1.741659006239789,1.5220342051836468,9.720033449483369,0.009696620286511682,0.014584057559217184,0.03799950749137489,stand,1,waist,50
1.4,-1.6440157325876328,1.5501438089598754,9.633459068899427,0.019491815039938055,-0.008573130043350089,-0.017084611132553485,stand,1,waist,50
1.42,-1.7143781693242435,1.7036651496772124,9.714381164411831,-0.013657774954330796,-0.03432425470284556,0.012854826223280498,stand,1,waist,50
1.44,-1.5498412714630505,1.729548274577625,9.771407118103706,0.005993747705503993,0.005416504542305205,-0.01826419617449806,stand,1,waist,50
1.46,-1.7407964269681164,1.4341671941911442,9.565767350049475,-0.014727299015831254,0.0012299827496831087,0.028138322383628667,stand,1,waist,50
1.48,-1.8054713696613591,1.4341780245625853,9.633466993826653,0.0008257907722679196,-0.0031817870833009505,-0.0010387638078470096,stand,1,waist,50
1.5,-1.7228152382316333,1.8686320540627277,9.637399979097097,0.00645253247897161,0.0009098345398567637,0.02550934759712037,stand,1,waist,50
1.52,-1.4651516838997272,1.4047304321583456,9.578744136462708,0.008465335467480378,-0.0046639417803663995,-0.0011566829499196907,stand,1,waist,50
1.54,-1.8397164734207263,1.4491445848620839,9.543765988569133,0.02641571746828254,0.012774950404727807,-0.0020357346387384536,stand,1,waist,50
1.56,-1.6583626893112358,1.6002491908229717,9.745760837563603,-0.018925041518841567,0.005089357041525065,-0.0020087256672483116,stand,1,waist,50
